principal Component 1,Principal Component 2,Predicted Label,Actual Label
0.023155810609736368,0.00022797448941845358,2,2
0.0016584809534497418,-0.00011197495790011831,1,2
0.0016576087344325075,-0.0001213849749127635,1,2
0.008588932447397751,-0.0001123015746072853,1,2
0.01319023387440648,-0.0002997891117260526,1,2
0.001659473651727074,-0.00011030694683021988,1,2
0.0016562437688775803,-9.793838181568017e-05,1,2
0.0016619549135054724,-0.0001393604331430682,1,2
-0.0022903333764619726,-9.974113266720233e-05,1,2
0.0016570698423094214,-8.744135196583288e-05,1,2
0.0016607721540663526,-0.00010224328297076912,1,2
0.0016540969759561242,-6.308235836539507e-05,3,2
0.007649098272251074,-7.9195765952295e-05,1,2
0.001657960651380557,-0.00010685302425183275,1,2
0.0640674819435666,-0.00024462496352195984,2,2
0.0016575623147441286,-9.806742607218905e-05,1,2
0.0016597203810092718,-0.0001523126005724834,1,2
0.0016598051027409697,-9.990915729666851e-05,1,2
0.0016564498848964894,-7.322470954503418e-05,1,2
0.00165988114464329,-0.0001107504495485096,1,2
0.001655860762087433,-7.978697949856402e-05,3,2
0.0016552051319964612,-0.00011582309822188313,1,2
0.0016532667724342912,4.341905837896841e-06,1,2
0.0016589785815160428,-0.00015720355828585908,1,2
0.011228047865846292,-6.032526613296295e-05,1,2
0.011230227947425222,-7.219175225547006e-05,1,2
0.0016561974160942353,-6.493239412614639e-05,3,2
0.0016559213571021836,-9.61965739016061e-05,1,2
0.0016620087063793688,-0.00011497578269682497,1,2
0.0016558731756059798,-0.00011345661597061006,1,2
0.0024694220823846163,-0.0001259500004833668,1,2
0.004760697234962325,-1.0611340677843924e-05,1,2
0.06975541427774304,0.0005719030633496639,2,2
0.0016608508112255145,-0.0001813266864557455,1,2
0.01968482751742526,4.279775532882605e-06,2,2
0.07187271014559861,-9.362787283850422e-05,2,2
0.0016576422330535359,-0.00011236128082255471,1,2
0.006190183212276988,-0.00011335162259213658,1,2
-0.0022933358287640913,-0.00013271866185260835,1,2
0.0016575400370793265,-7.468684313814233e-05,1,2
0.0016588424030849645,-0.00014400694519389523,1,2
0.0016599286131401866,-0.0001052438224086992,1,2
0.0016592619952813506,-0.00012754697731541317,1,2
0.008619700657109961,-8.276143586410779e-05,1,2
0.04267984063469283,6.598465178653024e-05,2,2
0.001655855585986675,-6.976338449783233e-05,1,2
0.0076476239268422315,-7.608992497445178e-05,1,2
0.007650031821043263,-8.058919924272965e-05,1,2
0.037661713879873764,0.0002515980128635756,2,2
0.0016570508990853166,-0.00010511766358912463,1,2
0.0016537585691394914,-5.2393145420141116e-05,1,2
0.0016598697913640056,-0.00019058797226220576,1,2
0.006186271283610146,-0.00012217042219186546,1,2
0.0016560769080147272,-9.438030182741747e-05,1,2
0.0016595995163046528,-0.00010967383284293414,1,2
0.0016540414149756723,-0.00011179669825327897,1,2
0.0016561419101002255,-8.10773302671701e-05,3,2
0.001658907520886888,-0.00011764747761509333,1,2
0.001658380529442163,-0.00010530041936257286,1,2
0.0016535761984298738,-9.308848579152212e-05,1,2
0.0016618368206952755,-0.00010755338077590495,1,2
0.0016547952975739246,2.0269043502156045e-06,1,2
0.0016639117432427433,-9.734032806304938e-05,1,2
0.03223452178787331,-0.000129302413549165,2,2
0.0016575798231812356,-0.0001150750048576289,1,2
0.0016611483948882444,-0.0001840336868921071,1,2
0.03211533025796806,0.00032828903878868326,2,2
0.0016567236747077523,-0.00011655128807839164,1,2
-0.00229564216977323,-0.0001043738778635697,1,3
-0.0022869901392482297,-0.00013995202489773946,1,3
-0.002299573564104523,-0.00010096073945466281,1,3
-0.002011451989798603,0.0009330402882421143,0,3
-0.0022968425642958487,-0.00013877473323752935,3,3
-0.0022975652233143337,-0.00014438612818938972,3,3
-0.00228916951211193,-0.00012525189989649743,1,3
0.005413390059491012,4.1829608704700857e-05,1,3
-0.002296272384321246,-0.00013004355296617132,3,3
-0.00230483661150502,-0.00014681055947737097,3,3
-0.002308721046318607,-6.908044820540894e-05,3,3
-0.002276217173704627,-6.950942805809047e-05,3,3
-0.0022989352631311052,-0.00013774788428445054,3,3
-0.0023155276549291777,0.0009114140961420018,0,3
-0.0007199429559605205,-0.00017107404343006205,3,3
-0.0022140805633812798,0.0009271898230711605,0,3
